title,studio,totalgross,totaltheatres,opening,openingtheatres,month,year,budget,sequel
A Bad Moms Christmas,other,72110659,3615,16759161,3615,Nov,2017,2.80E+07,1
Alien: Covenant,Fox,74262031,3772,36160621,3761,May,2017,9.70E+07,1
All Eyez on Me,other,44922302,2471,26435354,2471,Jun,2017,4.50E+07,0
All Saints,other,5802208,846,1514278,846,Aug,2017,2.00E+06,0
Annabelle: Creation,other,102092201,3565,35006404,3502,Aug,2017,1.50E+07,1
Atomic Blonde,other,51687870,3326,18286420,3304,Jul,2017,3.00E+07,0
Baahubali 2: The Conclusion,other,20186659,425,10430497,425,Apr,2017,3.00E+07,1
Baby Driver,other,107825862,3226,20553320,3226,Jun,2017,3.40E+07,0
Baywatch,Paramount,58060186,3647,18503871,3647,May,2017,6.00E+07,0
Bitter Harvest,other,557241,127,219357,127,Feb,2017,2.10E+07,0
Blade Runner 2049,WarnerBros,92054159,4058,32753122,4058,Oct,2017,1.85E+08,1
Captain Underpants: The First Epic Movie,Fox,73921000,3529,23851539,3434,Jun,2017,3.80E+07,0
Coco,other,209726015,3987,50802605,3987,Nov,2017,1.75E+08,0
Collide,other,2280004,2045,1512824,2045,Feb,2017,29200000,0
Despicable Me 3,Universal,264624300,4535,72434025,4529,Jun,2017,7.50E+07,1
Diary of a Wimpy Kid: The Long Haul,Fox,20738724,3174,7126084,3157,May,2017,2.20E+07,1
Downsizing,Paramount,24449754,2668,4954287,2668,Dec,2017,6.80E+07,0
Dunkirk,WarnerBros,188045546,4014,50513488,3720,Jul,2017,1.50E+08,0
"Everything, Everything",WarnerBros,34121140,2801,11727390,2801,May,2017,1.00E+07,0
Father Figures,WarnerBros,17501244,2902,3287451,2902,Dec,2017,2.50E+07,0
Ferdinand,Fox,84410380,3630,13401586,3621,Dec,2017,1.11E+08,0
Fifty Shades Darker,Universal,114581250,3714,46607250,3710,Feb,2017,5.50E+07,1
Fist Fight,other,32187017,3185,12201873,3185,Feb,2017,2.50E+07,0
Free Fire,other,1799312,1070,994431,1070,Apr,2017,1.00E+07,0
Geostorm,WarnerBros,33700160,3246,13707376,3246,Oct,2017,1.00E+08,0
Get Out,Universal,176040665,3143,33377060,2781,Feb,2017,5.00E+06,0
Girls Trip,Universal,115171585,2648,31201920,2591,Jul,2017,2.80E+07,0
Happy Death Day,Universal,55683845,3535,26039025,3149,Oct,2017,5.00E+06,0
Home Again,other,27020284,3036,8567881,2940,Sep,2017,1.50E+07,1
It,other,327481748,4148,123403419,4103,Sep,2017,3.50E+07,0
Jigsaw,other,38052832,2941,16640452,2941,Oct,2017,1.00E+07,0
John Wick: Chapter Two,other,92029184,3113,30436123,3113,Feb,2017,4.00E+07,1
Jumanji: Welcome to the Jungle,Sony,404515480,3849,36169328,3765,Dec,2017,9.00E+07,1
Just Getting Started,other,6069605,2161,3201459,2161,Dec,2017,2.20E+07,0
Justice League,WarnerBros,229024295,4051,93842239,4051,Nov,2017,3.00E+08,1
King Arthur: Legend of the Sword,WarnerBros,39175066,3702,15371270,3702,May,2017,1.75E+08,1
Kingsman: The Golden Circle,Fox,100234838,4038,39023010,4003,Sep,2017,1.04E+08,1
Kong: Skull Island,WarnerBros,168052812,3846,61025472,3846,Mar,2017,1.85E+08,1
Lady Bird,other,48958273,1557,364437,4,Nov,2017,1.00E+07,0
Logan Lucky,other,27780977,3031,7600036,3031,Aug,2017,2.90E+07,0
Marshall,other,10051659,821,3000805,821,Oct,2017,1.20E+07,0
Monster Trucks,Paramount,33370166,3119,10950705,3119,Jan,2017,1.25E+08,1
Patti Cake$,Fox,800148,303,67599,14,Aug,2017,1.00E+06,0
Pirates of the Caribbean: Dead Men Tell No Tales,other,172558876,4276,62983253,4276,May,2017,2.30E+08,1
Resident Evil: The Final Chapter,other,26830068,3104,13601682,3104,Jan,2017,4.00E+07,1
Rings,Paramount,27793018,2931,13002632,2931,Feb,2017,2.50E+07,0
Rock Dog,other,9420546,2077,3704749,2077,Feb,2017,6.00E+07,0
"Roman J. Israel, Esq.",Sony,11962778,1669,61999,4,Nov,2017,2.20E+07,0
Rough Night,Sony,22105643,3162,8004283,3162,Jun,2017,2.00E+07,0
Smurfs: The Lost Village,Sony,45020282,3610,13210449,3610,Apr,2017,6.00E+07,1
Snatched,Fox,45852178,3511,19542248,3501,May,2017,4.20E+07,0
Spider-Man: Homecoming,Sony,334201140,4348,117027503,4348,Jul,2017,1.75E+08,1
Split,Universal,138291365,3373,40010975,3038,Jan,2017,5.00E+06,0
T2: Trainspotting,other,2402004,331,170575,5,Mar,2017,1.80E+07,1
The Belko Experiment,other,10166820,1341,4137230,1341,Mar,2017,5.00E+06,0
The Big Sick,other,42873127,2597,421577,5,Jun,2017,5.00E+06,0
The Boss Baby,Fox,175003033,3829,50198902,3773,Mar,2017,1.25E+08,0
The Bye Bye Man,other,22395806,2220,13501349,2220,Jan,2017,7400000,0
The Dark Tower,Sony,50701325,3451,19153698,3451,Aug,2017,6.00E+07,0
The Fate of the Furious,Universal,226008385,4329,98786705,4310,Apr,2017,2.50E+08,1
The Foreigner,other,34393507,2515,13113024,2515,Oct,2017,3.50E+07,0
The Founder,other,12786053,1115,3404102,1115,Jan,2017,1.50E+07,0
The Great Wall,Universal,45540830,3328,18469620,3326,Feb,2017,1.50E+08,0
The Greatest Showman,Fox,174340174,3342,8805843,3006,Dec,2017,8.40E+07,0
The House,other,25584504,3134,8724795,3134,Jun,2017,4.00E+07,0
The Nut Job 2: Nutty by Nature,other,28370522,4003,8342311,4003,Aug,2017,4.00E+07,1
The Shape of Water,Fox,63859435,2341,166564,2,Dec,2017,19500000,0
The Snowman,Universal,6700035,1815,3372565,1812,Oct,2017,3.50E+07,0
The Star,Sony,40852824,2976,9812674,2837,Nov,2017,2.00E+07,0
Thor: Ragnarok,other,315058289,4080,122744989,4080,Nov,2017,1.80E+08,0
"Three Billboards Outside Ebbing, Missouri",Fox,54513740,1726,322168,4,Nov,2017,1.20E+07,0
Transformers: The Last Knight,Paramount,130168683,4132,44680073,4069,Jun,2017,2.17E+08,1
Tulip Fever,other,2455635,772,1158017,765,Sep,2017,2.50E+07,0
Valerian and the City of a Thousand Planets,other,41189488,3553,17007624,3553,Jul,2017,1.80E+08,0
War for the Planet of the Apes,Fox,146880162,4100,56262929,4022,Jul,2017,1.52E+08,1
Wish Upon,other,14301505,2250,5467084,2250,Jul,2017,1.20E+07,0
Wonder,other,132422809,3519,27547866,3096,Nov,2017,2.00E+07,0
Wonder Woman,WarnerBros,412563408,4165,103251471,4165,Jun,2017,1.50E+08,0
