year,state,electiondistrict,runoff,candidate,party,writein,candidatevotes,totalvotes
1976,ALABAMA,AL1,FALSE,BILL DAVENPORT,DEMOCRAT,FALSE,58906,157170
1976,ALABAMA,AL1,FALSE,JACK EDWARDS,REPUBLICAN,FALSE,98257,157170
1976,ALABAMA,AL2,FALSE,J. CAROLE KEAHEY,DEMOCRAT,FALSE,66288,156362
1976,ALABAMA,AL2,FALSE,"WILLIAM L. """"BILL"""" DICKINSON",REPUBLICAN,FALSE,90069,156362
1976,ALABAMA,AL3,FALSE,BILL NICHOLS,DEMOCRAT,FALSE,106935,108048
1976,ALABAMA,AL3,FALSE,OGBURN GARDNER,PROHIBITION,FALSE,1111,108048
1976,ALABAMA,AL4,FALSE,TOM BEVILL,DEMOCRAT,FALSE,141490,176022
1976,ALABAMA,AL4,FALSE,LEONARD WILSON,REPUBLICAN,FALSE,34531,176022
1976,ALABAMA,AL5,FALSE,RONNIE G. FLIPPO,DEMOCRAT,FALSE,113553,113560
1976,ALABAMA,AL6,FALSE,BILLY E. DORSEY,NATIONAL DEMOCRAT,FALSE,1021,162518
1976,ALABAMA,AL6,FALSE,MEL BAILEY,DEMOCRAT,FALSE,69384,162518
1976,ALABAMA,AL6,FALSE,"JOHN H. BUCHANAN, JR.",REPUBLICAN,FALSE,92113,162518
1976,ALABAMA,AL7,FALSE,WALTER FLOWERS,DEMOCRAT,FALSE,110496,110501
1976,ALASKA,AK0,FALSE,DON YOUNG,REPUBLICAN,FALSE,83722,118208
1976,ALASKA,AK0,FALSE,EBEN HOPSON,DEMOCRAT,FALSE,34194,118208
1976,ARIZONA,AZ1,FALSE,HARRY BRAUN,INDEPENDENT,FALSE,1040,168119
1976,ARIZONA,AZ1,FALSE,JOHN J. RHODES,REPUBLICAN,FALSE,96397,168119
1976,ARIZONA,AZ1,FALSE,SUMMER DUNCAN DODGE,LIBERTARIAN,FALSE,2278,168119
1976,ARIZONA,AZ1,FALSE,PATRICIA M. FULLINWIDER,DEMOCRAT,FALSE,68404,168119
1976,ARIZONA,AZ2,FALSE,LAIRD GUTTERSEN,REPUBLICAN,FALSE,71765,182128
1976,ARIZONA,AZ2,FALSE,MICHAEL EMERLING,LIBERTARIAN,FALSE,4309,182128
1976,ARIZONA,AZ2,FALSE,MORRIS K. UDALL,DEMOCRAT,FALSE,106054,182128
1976,ARIZONA,AZ3,FALSE,BILL MCCUNE,INDEPENDENT,FALSE,19149,187165
1976,ARIZONA,AZ3,FALSE,BOB STUMP,DEMOCRAT,FALSE,88854,187165
1976,ARIZONA,AZ3,FALSE,"FRED KOORY, JR.",REPUBLICAN,FALSE,79162,187165
1976,ARIZONA,AZ4,FALSE,PAT HARPER,LIBERTARIAN,FALSE,6001,191590
1976,ARIZONA,AZ4,FALSE,ELDON RUDD,REPUBLICAN,FALSE,93154,191590
1976,ARIZONA,AZ4,FALSE,TONY MASON,DEMOCRAT,FALSE,92435,191590
1976,ARKANSAS,AR1,FALSE,"HARLAN """"BO"""" HOLLEMAN",REPUBLICAN,FALSE,52565,168782
1976,ARKANSAS,AR1,FALSE,BILL ALEXANDER,DEMOCRAT,FALSE,116217,168782
1976,ARKANSAS,AR2,FALSE,JIM GUY TUCKER,DEMOCRAT,FALSE,144780,167607
1976,ARKANSAS,AR2,FALSE,JAMES J. KELLY,REPUBLICAN,FALSE,22819,167607
1976,ARKANSAS,AR3,FALSE,JOHN PAUL HAMMERSCHMIDT,REPUBLICAN,FALSE,1,1
1976,ARKANSAS,AR4,FALSE,RAY THORNTON,DEMOCRAT,FALSE,1,1
1976,CALIFORNIA,CA1,FALSE,JAMES E. TAYLOR,REPUBLICAN,FALSE,56539,217016
1976,CALIFORNIA,CA1,FALSE,HAROLD T. (BIZZ) JOHNSON,DEMOCRAT,FALSE,160477,217016
1976,CALIFORNIA,CA2,FALSE,ROBERT B. ALLRED,PEACE AND FREEDOM,FALSE,6444,216563
1976,CALIFORNIA,CA2,FALSE,OSCAR KLEE,DEMOCRAT,FALSE,88829,216563
1976,CALIFORNIA,CA2,FALSE,DON H. CLAUSEN,REPUBLICAN,FALSE,121290,216563
1976,CALIFORNIA,CA3,FALSE,"GEORGE R. MARSH, JR.",REPUBLICAN,FALSE,52075,191854
1976,CALIFORNIA,CA3,FALSE,JOHN E. MOSS,DEMOCRAT,FALSE,139779,191854
1976,CALIFORNIA,CA4,FALSE,ALBERT DEHR,REPUBLICAN,FALSE,75193,151037
1976,CALIFORNIA,CA4,FALSE,ROBERT L. LEGGETT,DEMOCRAT,FALSE,75844,151037
1976,CALIFORNIA,CA5,FALSE,BRANWELL FANNING,REPUBLICAN,FALSE,64008,167754
1976,CALIFORNIA,CA5,FALSE,JOHN L. BURTON,DEMOCRAT,FALSE,103746,167754
1976,CALIFORNIA,CA6,FALSE,RAYMOND O. HEAPS,AMERICAN INDEPENDENT,FALSE,2494,130916
