Y,X1,X2,X3,X4,X5,X6
-3.81,-0.0057319,0.062116,0.0057442,-0.26474,0.093342,-1.8723
-3.3904,-0.019452,-0.0011074,-0.02473,-0.079636,0.035124,-1.3306
-3.3776,-0.0194,-0.089177,0.022901,-0.45673,-0.2843,0.20705
-3.3634,-0.064612,-0.086215,-0.021674,-0.11086,-0.058995,-0.64101
-3.3506,-0.012616,0.0051834,0.060102,-0.07889,-0.029353,-1.4388
-3.325,0.0086108,-0.02561,-0.05918,0.050526,0.13217,-1.7733
-3.3122,0.013229,0.13354,-0.10823,0.092947,0.11581,-1.7494
-3.2994,-0.032088,0.077745,-0.083876,0.16159,-0.030192,-1.0792
-3.2866,-0.021888,0.034319,0.016937,-0.18675,-0.1368,-0.72826
-3.2738,-0.019637,0.0059889,0.029969,-0.13353,-0.18816,-0.6023
-3.2612,-0.026686,-0.10256,0.022014,-0.13358,-0.15797,-0.21832
-3.2609,-0.0095397,-0.022649,-0.065372,0.3312,0.29961,-2.6096
-3.2596,-0.01994,-0.10378,0.0088268,0.042072,-0.03175,-1.1654
-3.2467,0.036211,0.16395,-0.1488,0.13347,-0.016658,-1.2074
-3.2339,-0.049832,-0.020537,0.017037,0.0051063,0.17645,-1.9699
-3.2211,-0.034691,-0.066204,-0.051271,-0.10901,0.14552,-1.4718
-3.2083,-0.076658,-0.1185,-0.022924,-0.0018606,-0.174,-0.17748
-3.1955,-0.02423,-0.04344,-0.049149,0.037351,0.12397,-1.5999
-3.1827,-0.040718,-0.19014,0.049253,-0.27745,-0.17787,-0.26229
-3.1813,-0.07557,-0.055873,0.042458,-0.044737,0.11708,-1.629
-3.1761,-0.0091356,-0.07503,0.033208,-0.13742,-0.15415,-0.18087
-3.1685,-0.057835,-0.15439,0.091657,-0.092245,-0.076302,-0.97063
-3.1557,0.019481,0.047516,-0.065905,0.2815,-0.011099,-1.4888
-3.1543,-0.0053932,0.069491,-0.047615,-0.12303,-0.096387,-0.75261
-3.1415,-0.066728,-0.069141,0.017623,-0.17801,-0.023821,-0.84673
-3.1308,-0.095444,-0.13349,-0.0014963,0.17181,0.12202,-0.86445
-3.1287,-0.038412,-0.10257,0.094404,-0.1635,-0.12174,-0.85793
-3.1159,-0.059068,-0.22906,0.069842,-0.18218,-0.056529,-0.77236
-3.1031,-0.0047806,0.057807,-0.071765,0.018536,0.024171,-1.2584
-3.1017,-0.021255,0.030578,-0.0093607,-0.263,0.0027461,-1.0499
-3.0903,-0.035888,0.048261,-0.14073,0.28425,0.073586,-1.2864
-3.0889,-0.044058,-0.0030275,-0.06191,0.04924,-0.10418,-0.5692
-3.0761,-0.021961,-0.17685,0.071447,-0.26896,-0.1685,-0.44719
-3.0641,-0.034948,-0.084188,0.031708,-0.18949,-0.037275,-1.2895
-3.0632,-0.025578,0.062152,-0.035493,0.23035,0.08107,-1.7371
-3.0537,-0.052202,-0.088874,0.0017824,-0.055486,0.054286,-1.3498
-3.0504,0.0297,0.081099,-0.071077,-0.1818,-0.085639,-0.78803
-3.0106,-0.020418,0.033319,-0.05914,0.16777,-0.1057,-0.80935
-3.007,-0.080783,-0.14036,0.090992,-0.2033,-0.060289,-0.50973
-2.9942,-0.016843,0.0094234,-0.060849,0.24238,-0.022356,-0.89495
-2.9928,-0.060531,-0.091049,0.028144,-0.16227,0.0041222,-0.67571
-2.985,0.003276,0.10534,-0.079011,0.073785,0.025614,-1.3454
-2.9836,0.07461,0.15619,-0.11255,-0.080814,-0.064393,-1.0404
-2.98,0.044446,0.18899,-0.09106,0.21114,0.017267,-1.3436
-2.9786,-0.033597,-0.042453,-0.01908,-0.11299,-0.083382,-0.33169
-2.9708,-0.057613,-0.021175,-0.0021898,0.019584,0.045673,-1.2787
-2.9694,-0.051648,-0.056582,0.023114,-0.033949,0.064227,-1.3753
-2.9672,0.028408,0.017586,-0.0051781,0.12859,0.075708,-1.587
-2.9658,0.011131,0.011356,-0.056418,0.1493,-0.041024,-0.83946
-2.958,-0.0091903,-0.046909,-0.021906,-0.2906,-0.25465,0.12413
-2.9566,-0.011268,-0.037019,-0.010285,-0.07115,0.040539,-1.2977
-2.9438,-0.073871,-0.1108,0.077569,-0.19558,-0.071078,-0.75098
-2.9402,-0.036984,0.0002665,-0.022376,0.17688,0.3668,-2.4252
-2.931,-0.050444,-0.041932,0.02155,-0.062979,-0.022886,-1.015
-2.9274,-0.011889,-0.11315,0.065535,-0.010237,0.17165,-1.7994
-2.9168,0.021173,0.033873,-0.075104,-0.22133,0.022047,-1.0198
-2.9146,0.0092253,0.026343,-0.0083706,-0.028884,-0.12635,-0.53588
-2.9018,0.011215,-0.0017505,-0.061349,0.06352,0.16082,-1.5319
-2.9004,0.0064175,0.052147,0.040866,-0.31416,-0.18127,-0.25307
-2.8912,0.032483,0.076548,-0.078386,0.021441,0.074234,-1.5374
-2.8876,-0.052337,-0.031443,0.0090809,0.037557,-0.059528,-0.604
-2.8834,0.027328,0.049584,-0.052067,0.25387,0.15778,-1.4659
-2.877,-0.072912,-0.099028,0.043377,-0.089928,-0.11479,-0.52517
-2.8748,0.0027814,-0.0096856,-0.037996,-0.10424,-0.17961,-0.050308
-2.8642,-0.020099,0.027784,-0.046969,0.074957,0.066105,-1.3974
-2.862,-0.034094,0.10429,-0.043769,0.025218,-0.0637,-0.59116
-2.85,-0.066161,0.030926,0.068997,-0.22214,0.0090921,-1.1632
-2.8492,0.01384,0.084835,-0.02122,0.011061,-0.11782,-0.62683
-2.8478,-0.02455,-0.035281,0.05136,-0.25996,-0.20211,-0.022078
-2.8372,0.0051624,0.14203,-0.15191,0.33616,0.29813,-2.3637
-2.835,0.058475,0.21993,-0.17483,0.24698,0.25368,-2.0329
-2.8221,-0.031247,0.0060503,0.011065,-0.40549,-0.2353,0.3905
-2.8101,-0.06974,-0.030903,0.12818,-0.2332,-0.15501,-0.63709
-2.8093,-0.016505,-0.088773,0.12378,-0.41442,-0.28248,0.17818
-2.7973,0.01192,0.055137,-0.061268,0.22519,0.016812,-1.4166
-2.7965,-0.067826,-0.12533,0.066248,-0.33367,-0.14231,0.027331
-2.7831,-0.05541,-0.047721,0.050147,-0.3349,-0.14218,-0.30169
-2.7823,0.0051703,0.05691,-0.067515,0.060501,-0.046011,-0.67657
